vendor_name,invoice_date,invoice_number,li_sequence,li_amount
"Federal Express Corporation",2014-06-11,963253256,1,53.25
"Federal Express Corporation",2014-06-15,963253269,1,26.75
"Federal Express Corporation",2014-06-17,963253267,1,23.50
"Federal Express Corporation",2014-06-18,263253253,1,31.95
"Federal Express Corporation",2014-06-22,43966316,1,10.00
"Federal Express Corporation",2014-06-22,963253254,1,108.50
"Federal Express Corporation",2014-06-24,7548906-20,1,27.00
"Federal Express Corporation",2014-06-24,963253248,1,241.00
"Federal Express Corporation",2014-07-02,263253265,1,26.25
"Federal Express Corporation",2014-07-06,963253258,1,111.00
"Federal Express Corporation",2014-07-07,963253230,1,739.20
"Federal Express Corporation",2014-07-07,963253271,1,158.00
"Federal Express Corporation",2014-07-08,963253239,1,147.25
"Federal Express Corporation",2014-07-08,963253244,1,60.00
"Federal Express Corporation",2014-07-12,963253252,1,38.75
"Federal Express Corporation",2014-07-16,4-327-7357,1,162.75
"Federal Express Corporation",2014-07-18,963253264,1,52.25
"Federal Express Corporation",2014-07-21,263253268,1,59.97
"Federal Express Corporation",2014-07-22,263253270,1,67.92
"Federal Express Corporation",2014-07-22,263253273,1,30.75
"Federal Express Corporation",2014-07-23,263253243,1,44.44
"Federal Express Corporation",2014-07-24,963253240,1,67.00
"Federal Express Corporation",2014-07-30,263253257,1,22.57
"Federal Express Corporation",2014-08-02,963253249,1,127.75
"Ford Motor Credit Company",2014-07-24,9982771,1,503.20
"Franchise Tax Board",2014-05-25,RTR-72-3662-X,1,1600.00
"Fresno County Tax Collector",2014-05-03,P02-88D77S7,1,856.92
"Gostanian General Building",2014-05-19,121897,1,450.00
IBM,2014-05-07,QP58872,1,116.54
IBM,2014-06-09,Q545443,1,1083.58
Ingram,2014-06-03,31359783,1,1575.00
Ingram,2014-07-21,31361833,1,579.42
"Malloy Lithographing Inc",2014-05-28,0-2058,1,37966.19
"Malloy Lithographing Inc",2014-07-19,P-0259,1,26881.40
"Malloy Lithographing Inc",2014-07-23,P-0608,1,20551.18
"Malloy Lithographing Inc",2014-07-24,0-2060,1,23517.58
"Malloy Lithographing Inc",2014-07-31,0-2436,1,10976.06
"Pacific Bell",2014-04-30,111-92R-10096,1,16.33
"Pacific Bell",2014-06-01,111-92R-10094,1,19.67
"Pacific Bell",2014-06-04,111-92R-10097,1,16.33
"Pacific Bell",2014-06-09,111-92R-10092,1,46.21
"Pacific Bell",2014-07-06,111-92R-10093,1,39.77
"Pacific Bell",2014-07-15,111-92R-10095,1,32.70
Pollstar,2014-05-13,77290,1,1750.00
Postmaster,2014-06-23,CBM9920-M-T77109,1,290.00
"Reiter's Scientific & Pro Books",2014-07-19,C73-24,1,600.00
"Roadway Package System, Inc",2014-05-01,25022117,1,6.00
"Roadway Package System, Inc",2014-05-10,24863706,1,6.00
"Roadway Package System, Inc",2014-06-15,24946731,1,25.67
"Roadway Package System, Inc",2014-06-22,24780512,1,6.00
"Suburban Propane",2014-07-15,111897,1,16.62
"United Parcel Service",2014-04-08,989319-457,1,3813.33
"United Parcel Service",2014-06-01,989319-437,1,2765.36
"United Parcel Service",2014-06-08,989319-477,1,2184.11
"United Parcel Service",2014-06-12,989319-497,1,2312.20
"United Parcel Service",2014-06-16,989319-427,1,2115.81
"United Parcel Service",2014-06-20,989319-487,1,1927.54
"United Parcel Service",2014-07-01,989319-467,1,2318.03
"United Parcel Service",2014-07-23,989319-417,1,2051.59
"United Parcel Service",2014-07-24,989319-447,1,3689.99
"Wakefield Co",2014-07-20,97-1024A,1,356.48
"Wang Laboratories, Inc.",2014-06-21,MABO1489,1,936.93
"Wells Fargo Bank",2014-04-26,I77271-O01,1,50.00
"Wells Fargo Bank",2014-04-26,I77271-O01,2,75.60
"Wells Fargo Bank",2014-04-26,I77271-O01,3,58.40
"Wells Fargo Bank",2014-04-26,I77271-O01,4,478.00
"Yesmed, Inc",2014-05-11,10843,1,4901.26
"Zylka Design",2014-04-24,97/488,1,601.95
"Zylka Design",2014-05-21,97/486,1,953.10
"Zylka Design",2014-05-25,97/465,1,565.15
"Zylka Design",2014-05-30,97/503,1,639.77
"Zylka Design",2014-06-10,97/553B,1,313.55
"Zylka Design",2014-06-25,97/553,1,904.14
"Zylka Design",2014-06-28,97/522,1,1197.00
"Zylka Design",2014-06-28,97/522,2,765.13
"Zylka Design",2014-07-25,97/222,1,1000.46
