vendor_id,vendor_name,vendor_address1,vendor_address2,vendor_city,vendor_state,vendor_zip_code,vendor_phone,vendor_contact_last_name,vendor_contact_first_name,default_terms_id,default_account_number,invoice_id,vendor_id,invoice_number,invoice_date,invoice_total,payment_total,credit_total,terms_id,invoice_due_date,payment_date
123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553,71,123,963253254,2014-06-22,108.50,108.50,0.00,3,2014-07-22,2014-07-20
123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553,72,123,43966316,2014-06-22,10.00,10.00,0.00,3,2014-07-22,2014-07-17
114,Postmaster,"Postage Due Technician","1900 E Street",Fresno,CA,93706,"(559) 555-7785",Finklestein,Fyodor,1,552,73,114,CBM9920-M-T77109,2014-06-23,290.00,290.00,0.00,1,2014-07-03,2014-06-29
102,"Coffee Break Service","PO Box 1091",NULL,Fresno,CA,93714,"(559) 555-8700",Smitzen,Jeffrey,4,570,74,102,109596,2014-06-24,41.80,41.80,0.00,4,2014-08-03,2014-08-04
123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553,75,123,7548906-20,2014-06-24,27.00,27.00,0.00,3,2014-07-24,2014-07-24
123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553,76,123,963253248,2014-06-24,241.00,241.00,0.00,3,2014-07-24,2014-07-25
121,"Zylka Design","3467 W Shaw Ave #103",NULL,Fresno,CA,93711,"(559) 555-8625",Ronaldsen,Jaime,3,403,77,121,97/553,2014-06-25,904.14,904.14,0.00,3,2014-07-25,2014-07-25
121,"Zylka Design","3467 W Shaw Ave #103",NULL,Fresno,CA,93711,"(559) 555-8625",Ronaldsen,Jaime,3,403,78,121,97/522,2014-06-28,1962.13,1762.13,200.00,3,2014-07-28,2014-07-30
100,"Cahners Publishing Company","Citibank Lock Box 4026","8725 W Sahara Zone 1127","The Lake",NV,89163,"(301) 555-2162",Jacobsen,Samuel,4,540,79,100,587056,2014-06-30,2184.50,2184.50,0.00,4,2014-08-09,2014-08-07
122,"United Parcel Service","P.O. Box 505820",NULL,Reno,NV,88905,"(800) 555-0855",Beauregard,Violet,3,553,80,122,989319-467,2014-07-01,2318.03,2318.03,0.00,3,2014-07-31,2014-07-29
123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553,81,123,263253265,2014-07-02,26.25,26.25,0.00,3,2014-08-01,2014-07-28
94,"Abbey Office Furnishings","4150 W Shaw Ave",NULL,Fresno,CA,93722,"(559) 555-8300",Francis,Kyra,2,150,82,94,203339-13,2014-07-05,17.50,17.50,0.00,2,2014-07-25,2014-07-27
95,"Pacific Bell",NULL,NULL,Sacramento,CA,95887,"(209) 555-7500",Nickalus,Kurt,2,522,83,95,111-92R-10093,2014-07-06,39.77,39.77,0.00,2,2014-07-26,2014-07-22
123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553,84,123,963253258,2014-07-06,111.00,111.00,0.00,3,2014-08-05,2014-08-05
123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553,85,123,963253271,2014-07-07,158.00,158.00,0.00,3,2014-08-06,2014-08-11
123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553,86,123,963253230,2014-07-07,739.20,739.20,0.00,3,2014-08-06,2014-08-06
123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553,87,123,963253244,2014-07-08,60.00,60.00,0.00,3,2014-08-07,2014-08-09
123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553,88,123,963253239,2014-07-08,147.25,147.25,0.00,3,2014-08-07,2014-08-11
72,"Data Reproductions Corp","4545 Glenmeade Lane",NULL,"Auburn Hills",MI,48326,"(810) 555-3700",Arodondo,Cesar,3,400,89,72,39104,2014-07-10,85.31,0.00,0.00,3,2014-08-09,NULL
123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553,90,123,963253252,2014-07-12,38.75,38.75,0.00,3,2014-08-11,2014-08-11
95,"Pacific Bell",NULL,NULL,Sacramento,CA,95887,"(209) 555-7500",Nickalus,Kurt,2,522,91,95,111-92R-10095,2014-07-15,32.70,32.70,0.00,2,2014-08-04,2014-08-06
117,"Suburban Propane","2874 S Cherry Ave",NULL,Fresno,CA,93706,"(559) 555-2770",Spivak,Harold,3,521,92,117,111897,2014-07-15,16.62,16.62,0.00,3,2014-08-14,2014-08-14
123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553,93,123,4-327-7357,2014-07-16,162.75,162.75,0.00,3,2014-08-15,2014-08-11
123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553,94,123,963253264,2014-07-18,52.25,0.00,0.00,3,2014-08-17,NULL
82,"Reiter's Scientific & Pro Books","2021 K Street Nw",NULL,Washington,DC,20006,"(202) 555-5561",Rodolfo,Carlee,2,572,95,82,C73-24,2014-07-19,600.00,600.00,0.00,2,2014-08-08,2014-08-13
110,"Malloy Lithographing Inc","5411 Jackson Road","PO Box 1124","Ann Arbor",MI,48106,"(313) 555-6113",Regging,Abe,3,400,96,110,P-0259,2014-07-19,26881.40,26881.40,0.00,3,2014-08-18,2014-08-20
90,"Wakefield Co","295 W Cromwell Ave Ste 106",NULL,Fresno,CA,93711,"(559) 555-4744",Rothman,Nathanael,2,170,97,90,97-1024A,2014-07-20,356.48,356.48,0.00,2,2014-08-09,2014-08-07
83,Ingram,"PO Box 845361",NULL,Dallas,TX,75284,NULL,Yobani,Trey,2,541,98,83,31361833,2014-07-21,579.42,0.00,0.00,2,2014-08-10,NULL
123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553,99,123,263253268,2014-07-21,59.97,0.00,0.00,3,2014-08-20,NULL
123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553,100,123,263253270,2014-07-22,67.92,0.00,0.00,3,2014-08-21,NULL
123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553,101,123,263253273,2014-07-22,30.75,0.00,0.00,3,2014-08-21,NULL
110,"Malloy Lithographing Inc","5411 Jackson Road","PO Box 1124","Ann Arbor",MI,48106,"(313) 555-6113",Regging,Abe,3,400,102,110,P-0608,2014-07-23,20551.18,0.00,1200.00,3,2014-08-22,NULL
122,"United Parcel Service","P.O. Box 505820",NULL,Reno,NV,88905,"(800) 555-0855",Beauregard,Violet,3,553,103,122,989319-417,2014-07-23,2051.59,2051.59,0.00,3,2014-08-22,2014-08-24
123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553,104,123,263253243,2014-07-23,44.44,44.44,0.00,3,2014-08-22,2014-08-24
106,"Ford Motor Credit Company","Dept 0419",NULL,"Los Angeles",CA,90084,"(800) 555-7000",Snyder,Karen,3,582,105,106,9982771,2014-07-24,503.20,0.00,0.00,3,2014-08-23,NULL
110,"Malloy Lithographing Inc","5411 Jackson Road","PO Box 1124","Ann Arbor",MI,48106,"(313) 555-6113",Regging,Abe,3,400,106,110,0-2060,2014-07-24,23517.58,21221.63,2295.95,3,2014-08-23,2014-08-27
122,"United Parcel Service","P.O. Box 505820",NULL,Reno,NV,88905,"(800) 555-0855",Beauregard,Violet,3,553,107,122,989319-447,2014-07-24,3689.99,3689.99,0.00,3,2014-08-23,2014-08-19
123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553,108,123,963253240,2014-07-24,67.00,67.00,0.00,3,2014-08-23,2014-08-23
121,"Zylka Design","3467 W Shaw Ave #103",NULL,Fresno,CA,93711,"(559) 555-8625",Ronaldsen,Jaime,3,403,109,121,97/222,2014-07-25,1000.46,1000.46,0.00,3,2014-08-24,2014-08-22
80,"Cardinal Business Media, Inc.","P O Box 7247-7844",NULL,Philadelphia,PA,19170,"(215) 555-1500",Eulalia,Kelsey,2,540,110,80,134116,2014-07-28,90.36,0.00,0.00,2,2014-08-17,NULL
123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553,111,123,263253257,2014-07-30,22.57,22.57,0.00,3,2014-08-29,2014-09-03
110,"Malloy Lithographing Inc","5411 Jackson Road","PO Box 1124","Ann Arbor",MI,48106,"(313) 555-6113",Regging,Abe,3,400,112,110,0-2436,2014-07-31,10976.06,0.00,0.00,3,2014-08-30,NULL
37,"Blue Cross","PO Box 9061",NULL,Oxnard,CA,93031,"(800) 555-0912",Eliana,Nikolas,3,510,113,37,547480102,2014-08-01,224.00,0.00,0.00,3,2014-08-31,NULL
123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553,114,123,963253249,2014-08-02,127.75,127.75,0.00,3,2014-09-01,2014-09-04
